status,account,balance,date,gender,age,merchant_state,amount,movement,month,day
authorized,ACC-1598451071,35.39,2018-08-01,F,26,QLD,16.25,debit,8,1
authorized,ACC-1598451071,21.2,2018-08-01,F,26,NSW,14.19,debit,8,1
authorized,ACC-1222300524,5.71,2018-08-01,M,38,NSW,6.42,debit,8,1
authorized,ACC-1037050564,2117.22,2018-08-01,F,40,QLD,40.9,debit,8,1
authorized,ACC-1598451071,17.95,2018-08-01,F,26,QLD,3.25,debit,8,1
posted,ACC-1608363396,1705.43,2018-08-01,M,20,MISSING,163.0,debit,8,1
authorized,ACC-2776252858,1248.36,2018-08-01,F,43,VIC,61.06,debit,8,1
authorized,ACC-2776252858,1232.75,2018-08-01,F,43,VIC,15.61,debit,8,1
authorized,ACC-182446574,213.16,2018-08-01,F,27,WA,19.25,debit,8,1
posted,ACC-602667573,466.58,2018-08-01,M,40,MISSING,21.0,debit,8,1
posted,ACC-2171593283,4348.5,2018-08-01,M,19,MISSING,27.0,debit,8,1
posted,ACC-2776252858,1203.75,2018-08-01,F,43,MISSING,29.0,debit,8,1
authorized,ACC-182446574,207.08,2018-08-01,F,27,WA,6.08,debit,8,1
posted,ACC-588564840,4438.16,2018-08-01,M,23,MISSING,25.0,debit,8,1
posted,ACC-1496451953,173.66,2018-08-01,M,43,MISSING,39.0,debit,8,1
authorized,ACC-1903037542,2.85,2018-08-01,M,30,QLD,10.79,debit,8,1
posted,ACC-2014856841,260514.83,2018-08-01,M,46,MISSING,22.0,debit,8,1
posted,ACC-4163822186,3117.94,2018-08-01,F,26,MISSING,55.0,debit,8,1
posted,ACC-3954677887,38.31,2018-08-01,F,47,MISSING,58.0,debit,8,1
authorized,ACC-4258502723,708.28,2018-08-01,F,24,VIC,7.37,debit,8,1
authorized,ACC-1598451071,3.85,2018-08-01,F,26,NSW,14.1,debit,8,1
authorized,ACC-2890243754,275.93,2018-08-01,M,37,NSW,24.77,debit,8,1
authorized,ACC-3481401842,259.37,2018-08-01,F,25,WA,13.67,debit,8,1
authorized,ACC-2615038700,30583.15,2018-08-01,F,43,VIC,12.08,debit,8,1
authorized,ACC-966140392,793.64,2018-08-01,M,21,NSW,72.12,debit,8,1
posted,ACC-354106658,4474.38,2018-08-01,F,39,MISSING,25.0,debit,8,1
posted,ACC-1443681913,586.2,2018-08-01,M,31,MISSING,36.0,debit,8,1
authorized,ACC-1710017148,1636.91,2018-08-01,F,19,NSW,17.96,debit,8,1
authorized,ACC-2673069055,11525.54,2018-08-01,M,24,QLD,14.49,debit,8,1
authorized,ACC-1710017148,1625.34,2018-08-01,F,19,NSW,11.57,debit,8,1
authorized,ACC-1037050564,2072.1,2018-08-01,F,40,QLD,45.12,debit,8,1
authorized,ACC-3485804958,12529.59,2018-08-01,F,34,SA,33.89,debit,8,1
authorized,ACC-4258502723,698.61,2018-08-01,F,24,VIC,9.67,debit,8,1
authorized,ACC-3100725361,2086.31,2018-08-01,M,25,QLD,4.38,debit,8,1
authorized,ACC-1990648130,1689.89,2018-08-01,F,21,NSW,28.49,debit,8,1
authorized,ACC-1990648130,1675.46,2018-08-01,F,21,WA,14.43,debit,8,1
authorized,ACC-2673069055,11438.51,2018-08-01,M,24,QLD,87.03,debit,8,1
