account,first_name,age,gender,balance,months,weekspayment,annual
ACC-1037050564,Rhonda,40,F,51472.2,12,52,46388.68
ACC-1056639002,Michael,22,M,298308.49,12,24,166140.52000000002
ACC-1199531521,Billy,52,M,86898.05,12,28,196860.56
ACC-1217063613,Kimberly,27,F,13769.630000000001,8,8,252908.24
ACC-1222300524,Michael,38,M,22826.6,12,52,52110.75999999999
ACC-1243371644,Gregory,42,M,28575.850000000002,12,24,87442.16
ACC-1279356312,Tyler,44,M,49934.57000000001,12,24,150141.68
ACC-1334819143,Christopher,33,M,381472.24,12,24,141362.52000000002
ACC-1344825761,Sarah,46,F,122866.07,12,24,128463.40000000001
ACC-1349834573,Matthew,39,M,89270.65999999999,12,28,159699.28
ACC-1424176027,Donald,22,M,37087.990000000005,12,24,100306.44
ACC-1438600314,Maria,35,F,57016.46,12,52,44873.40000000001
ACC-1443681913,Ryan,31,M,51803.62,12,52,51804.479999999996
ACC-1496451953,Ricky,43,M,183287.53999999998,12,52,134576.52000000005
ACC-1516130869,Jessica,21,F,31881.050000000003,12,28,119944.76000000002
ACC-1523339231,Tim,40,M,295834.6,12,16,459470.95999999996
ACC-154431271,Lori,18,F,17476.44,12,24,79959.36
ACC-1598451071,Diana,26,F,29963.79,12,56,52710.84
ACC-1608363396,Robert,20,M,40760.939999999995,12,24,120655.59999999999
ACC-1650504218,Marissa,23,F,150375.3,12,56,84576.95999999999
ACC-1652235822,Renee,38,F,128339.74,12,24,80138.23999999999
ACC-1683215619,Barry,38,M,43956.520000000004,12,24,130000.0
ACC-1710017148,Michelle,19,F,88893.07999999999,12,28,206827.91999999998
ACC-1788473090,Rachael,21,F,48462.09,12,28,105231.36
ACC-1799207998,Susan,20,F,97942.75000000001,12,56,72565.48000000001
ACC-182446574,Tonya,27,F,50023.1,12,28,147687.80000000002
ACC-1890605467,Alexander,38,M,92901.74000000002,12,24,189774.52000000005
ACC-1903037542,Jeffrey,30,M,25328.809999999998,12,24,94048.23999999998
ACC-1973887809,Antonio,26,M,78678.67,12,56,57143.32000000001
